Título,Link,Imagem,UF,Ano,KM,Valor do Lance,Situação,Data Leilão,Detalhe Ano Veículo,Detalhe Combustível,Detalhe KM Veículo,Detalhe Valor Mercado,Detalhe Cor,Detalhe Possui Chave,Detalhe Tipo Retomada,Detalhe Localização,Detalhe Tipo Veículo
CHEVROLET/PRISMA LTZ 1.4 AUTOMATICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/prisma-ltz-1.4-automatico-(4p)/ano.2015/055f161d-b704-11ef-8e48-02420a000017,N/A,CE,2014,255.312 km,"R$ 28.900,00",Leilão ao vivo em: 3 dias 1h2m14s,25/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/7e5906b3-9163-11ef-b411-02420a0000bf,N/A,CE,2009,93.287 km,"R$ 12.600,00",Leilão ao vivo em: 3 dias 1h2m27s,25/06/2025,,,,,,,,,
HYUNDAI/HB20 COMFORT (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/hyundai/hb20-comfort-(4p)/ano.2015/bd5e5eea-214d-11f0-bcc9-02420a000216,N/A,CE,2015,92.250 km,"R$ 22.800,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
FIAT/SIENA EL FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/siena-el-flex-(4p)/ano.2015/f21f5ff0-b7f5-11ef-8e48-02420a000017,N/A,CE,2014,146.062 km,"R$ 20.500,00",Leilão ao vivo em: 3 dias 1h3m4s,25/06/2025,,,,,,,,,
FORD/KA SE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-se-(4p)/ano.2015/c29d5963-dd72-11ef-903d-02420a000042,N/A,CE,2014,N/A,"R$ 20.000,00",Leilão ao vivo em: 3 dias 1h3m25s,25/06/2025,,,,,,,,,
CHEVROLET/ASTRA HB 4P ADVANTAGE (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/astra-hb-4p-advantage-(2p%2F4p)/ano.2010/a55bffd9-fff8-11ef-8c72-02420a00002d,N/A,CE,2009,218.509 km,"R$ 18.400,00",Leilão ao vivo em: 3 dias 1h3m48s,25/06/2025,,,,,,,,,
FIAT/SIENA EL FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/siena-el-flex-(4p)/ano.2015/af2b3c29-e48d-11ef-903d-02420a000042,N/A,CE,2015,168.475 km,"R$ 18.900,00",Leilão ao vivo em: 3 dias 1h4m7s,25/06/2025,,,,,,,,,
VOLKSWAGEN/GOL CITY MB (2P/4P),https://leilo.com.br/leilao/candeias-bahia/carros/volkswagen/gol-city-mb-(2p%2F4p)/ano.2015/3b1c4ef8-e588-11ef-903d-02420a000042,N/A,BA,2014,338.583 km,"R$ 17.600,00",Leilão ao vivo em: 3 dias 1h4m31s,25/06/2025,,,,,,,,,
VOLKSWAGEN/FOX GII 1.6 (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/fox-gii-1.6-(4p)/ano.2012/dce48458-ae6a-11ef-8e48-02420a000017,N/A,CE,2011,167.447 km,"R$ 18.800,00",Leilão ao vivo em: 3 dias 1h4m51s,25/06/2025,,,,,,,,,
FORD/ECOSPORT FREESTYLE AT,https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ecosport-freestyle-at/ano.2015/a5d4f47c-f371-11ef-bd15-02420a00000b,N/A,CE,2014,111.270 km,"R$ 30.200,00",Leilão ao vivo em: 3 dias 1h5m8s,25/06/2025,,,,,,,,,
HONDA/CIVIC LXS FLEX (4P),https://leilo.com.br/leilao/candeias-bahia/carros/honda/civic-lxs-flex-(4p)/ano.2008/063c4de1-9783-11ef-9088-02420a0000e0,N/A,BA,2008,265.818 km,"R$ 21.800,00",Leilão ao vivo em: 3 dias 1h5m31s,25/06/2025,,,,,,,,,
VOLKSWAGEN/SPACEFOX TREND GII,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/spacefox-trend-gii/ano.2014/8f40cc94-00f9-11f0-8c72-02420a00002d,N/A,CE,2013,111.407 km,"R$ 21.100,00",Leilão ao vivo em: 3 dias 1h5m48s,25/06/2025,,,,,,,,,
CHEVROLET/CLASSIC LS (2P/4P),https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/classic-ls-(2p%2F4p)/ano.2014/9abf5d9b-0fbc-11f0-8c72-02420a00002d,N/A,BA,2013,398.187 km,"R$ 15.600,00",Leilão ao vivo em: 3 dias 1h5m58s,25/06/2025,,,,,,,,,
FORD/FIESTA (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/fiesta-(4p)/ano.2004/d20fe58f-9ba9-11ef-9088-02420a0000e0,N/A,CE,2003,198.317 km,"R$ 6.900,00",Leilão ao vivo em: 3 dias 1h6m15s,25/06/2025,,,,,,,,,
PEUGEOT/207 PASSION ACTIVE (4P),https://leilo.com.br/leilao/candeias-bahia/carros/peugeot/207-passion-active-(4p)/ano.2014/84a32e64-1558-11f0-b6cf-02420a00009e,N/A,BA,2014,N/A,"R$ 13.500,00",Leilão ao vivo em: 3 dias 1h6m36s,25/06/2025,,,,,,,,,
MITSUBISHI/PAJERO SPORT HPE,https://leilo.com.br/leilao/candeias-bahia/carros/mitsubishi/pajero-sport-hpe/ano.2011/45ecb9ed-ac39-11ef-8e48-02420a000017,N/A,BA,2010,N/A,"R$ 36.100,00",Leilão ao vivo em: 3 dias 1h7m0s,25/06/2025,,,,,,,,,
CHEVROLET/PRISMA 1.4AT LT (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/prisma-1.4at-lt-(4p)/ano.2014/dc140efd-ae67-11ef-8e48-02420a000017,N/A,CE,2014,N/A,"R$ 27.300,00",Leilão ao vivo em: 3 dias 1h7m18s,25/06/2025,,,,,,,,,
RENAULT/SANDERO EXPRESSION (4P),https://leilo.com.br/leilao/candeias-bahia/carros/renault/sandero-expression-(4p)/ano.2011/308b8662-3644-11f0-bd5d-02420a000005,N/A,BA,2010,N/A,"R$ 15.100,00",Leilão ao vivo em: 3 dias 1h7m37s,25/06/2025,,,,,,,,,
CHEVROLET/SONIC LT HATCHBACK MT (4P/2P),https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/sonic-lt-hatchback-mt-(4p%2F2p)/ano.2014/9672d409-bc8b-11ef-8e48-02420a000017,N/A,BA,2014,N/A,"R$ 20.700,00",Leilão ao vivo em: 3 dias 1h8m0s,25/06/2025,,,,,,,,,
RENAULT/SYMBOL EXPRESSION (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/symbol-expression-(4p)/ano.2010/fcc4dfb0-e332-11ef-903d-02420a000042,N/A,CE,2009,339.290 km,"R$ 10.500,00",Leilão ao vivo em: 3 dias 1h8m19s,25/06/2025,,,,,,,,,
CHEVROLET/PRISMA LT (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/prisma-lt-(4p)/ano.2014/9e5613f5-f076-11ef-bd15-02420a00000b,N/A,CE,2013,133.525 km,"R$ 22.700,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
NISSAN/VERSA SL FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/nissan/versa-sl-flex-(4p)/ano.2014/a8652398-ad86-11ef-8e48-02420a000017,N/A,CE,2014,N/A,"R$ 21.100,00",Leilão ao vivo em: 3 dias 1h8m55s,25/06/2025,,,,,,,,,
CHEVROLET/CELTA LT 1.0L (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/celta-lt-1.0l-(2p%2F4p)/ano.2013/ee8a9cbe-00df-11ef-b80e-02420a000059,N/A,CE,2012,129.471 km,"R$ 17.100,00",Leilão ao vivo em: 3 dias 1h9m6s,25/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2005/dc3090b3-e1fe-11ee-843f-02420a00007b,N/A,CE,2004,N/A,"R$ 6.900,00",Leilão ao vivo em: 3 dias 1h9m22s,25/06/2025,,,,,,,,,
FIAT/IDEA ATTRACTIVE,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/idea-attractive/ano.2013/a5d62ad6-0ed0-11ef-b80e-02420a000059,N/A,CE,2013,111.832 km,"R$ 18.800,00",Leilão ao vivo em: 3 dias 1h9m42s,25/06/2025,,,,,,,,,
CHEVROLET/COBALT LT (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/cobalt-lt-(4p)/ano.2013/1ba13633-08d4-11f0-8c72-02420a00002d,N/A,CE,2012,N/A,"R$ 19.300,00",Leilão ao vivo em: 3 dias 1h9m55s,25/06/2025,,,,,,,,,
FORD/FIESTA 1.6 FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/fiesta-1.6-flex-(4p)/ano.2013/81605de4-6c6b-11ef-b67f-02420a000065,N/A,CE,2012,153.786 km,"R$ 17.000,00",Leilão ao vivo em: 3 dias 1h10m18s,25/06/2025,,,,,,,,,
PEUGEOT/206 SW PRESENCE FLEX,https://leilo.com.br/leilao/eusebio-ceara/carros/peugeot/206-sw-presence-flex/ano.2008/e0fac761-0184-11f0-8c72-02420a00002d,N/A,CE,2007,243.606 km,"R$ 8.300,00",Leilão ao vivo em: 3 dias 1h10m39s,25/06/2025,,,,,,,,,
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/candeias-bahia/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2013/1f1b004f-ad8e-11ef-8e48-02420a000017,N/A,BA,2012,N/A,"R$ 17.400,00",Leilão ao vivo em: 3 dias 1h10m57s,25/06/2025,,,,,,,,,
VOLKSWAGEN/FOX GII 1.6 (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/fox-gii-1.6-(4p)/ano.2013/85c2a6fe-ac2c-11ef-8e48-02420a000017,N/A,CE,2012,134.621 km,"R$ 20.200,00",Leilão ao vivo em: 3 dias 1h11m16s,25/06/2025,,,,,,,,,
PEUGEOT/207 XR SPORT (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/peugeot/207-xr-sport-(2p%2F4p)/ano.2012/9e198676-f282-11ee-b80e-02420a000059,N/A,CE,2011,116.746 km,"R$ 12.100,00",Leilão ao vivo em: 3 dias 1h11m38s,25/06/2025,,,,,,,,,
CHEVROLET/AGILE LTZ (2P/4P),https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/agile-ltz-(2p%2F4p)/ano.2013/08b5747d-1b80-11f0-abeb-02420a0000a3,N/A,BA,2013,N/A,"R$ 18.800,00",Leilão ao vivo em: 3 dias 1h11m57s,25/06/2025,,,,,,,,,
RENAULT/SANDERO EXPRESSION 1.0 16V (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/sandero-expression-1.0-16v-(2p%2F4p)/ano.2013/60b4b0fb-3034-11f0-9f79-02420a000005,N/A,CE,2012,162.862 km,"R$ 16.600,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2012/c18f6b21-e95e-11ef-903d-02420a000042,N/A,CE,2011,180.355 km,"R$ 17.200,00",Leilão ao vivo em: 3 dias 1h12m38s,25/06/2025,,,,,,,,,
VOLKSWAGEN/CROSSFOX GII (4P/2P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/crossfox-gii-(4p%2F2p)/ano.2012/33274291-2118-11f0-bcc9-02420a000216,N/A,CE,2011,127.629 km,"R$ 22.100,00",Leilão ao vivo em: 3 dias 1h12m59s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX 10MT LT2,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10mt-lt2/ano.2022/fba8af34-2290-11f0-bcc9-02420a000216,N/A,CE,2021,N/A,"R$ 37.500,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
PEUGEOT/207 PASSION XR (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/peugeot/207-passion-xr-(4p)/ano.2011/5ea91e44-1870-11ef-b80e-02420a000059,N/A,CE,2010,N/A,"R$ 10.800,00",Leilão ao vivo em: 3 dias 1h13m1s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX PLUS 10TAT LT1,https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/onix-plus-10tat-lt1/ano.2024/9d7fa4ba-0a48-11f0-8c72-02420a00002d,N/A,BA,2023,46.508 km,"R$ 51.800,00",Leilão ao vivo em: 3 dias 1h12m56s,25/06/2025,,,,,,,,,
FORD/KA HATCH SE 1.0 C (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2019/5e2169d9-2d17-11f0-9f79-02420a000005,N/A,CE,2018,202.866 km,"R$ 24.600,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
CHEVROLET/SPIN 1.8L MT LTZ,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/spin-1.8l-mt-ltz/ano.2018/e4cec525-16dc-11f0-b6cf-02420a00009e,N/A,CE,2017,191.492 km,"R$ 33.800,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
FORD/KA SE B (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-se-b-(4p)/ano.2018/6af68b1e-2d1c-11f0-9f79-02420a000005,N/A,CE,2017,106.461 km,"R$ 23.800,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
FIAT/UNO WAY 1.0 (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/uno-way-1.0-(2p%2F4p)/ano.2012/c8042519-29b9-11f0-9f79-02420a000005,N/A,CE,2011,129.183 km,"R$ 16.500,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
VOLKSWAGEN/UP TAKE MA (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/up-take-ma-(2p%2F4p)/ano.2017/f9cc0ea7-7b57-11ef-a1ff-02420a0000dd,N/A,CE,2016,94.177 km,"R$ 22.600,00",Leilão ao vivo em: 3 dias 1h15m24s,25/06/2025,,,,,,,,,
VOLKSWAGEN/NOVO GOL TRENDLINE MCV (4P/2P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/novo-gol-trendline-mcv-(4p%2F2p)/ano.2017/f2039e71-35af-11f0-9f79-02420a000005,N/A,CE,2016,123.057 km,"R$ 22.700,00",Leilão ao vivo em: 3 dias 1h15m46s,25/06/2025,,,,,,,,,
HYUNDAI/TUCSON GLB,https://leilo.com.br/leilao/eusebio-ceara/carros/hyundai/tucson-glb/ano.2011/35aafb14-0fdc-11f0-8c72-02420a00002d,N/A,CE,2010,252.350 km,"R$ 20.800,00",Leilão ao vivo em: 3 dias 1h16m4s,25/06/2025,,,,,,,,,
VOLKSWAGEN/GOL COMFORTLINE MC (4P/2P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-comfortline-mc-(4p%2F2p)/ano.2016/5cf3fed5-dd69-11ef-903d-02420a000042,N/A,CE,2015,124.316 km,"R$ 23.500,00",Leilão ao vivo em: 3 dias 1h16m27s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX LS 1.0 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-ls-1.0-mecanico-(4p)/ano.2016/75715ab1-35bc-11f0-9f79-02420a000005,N/A,CE,2015,60.638 km,"R$ 24.300,00",Leilão ao vivo em: 3 dias 1h16m51s,25/06/2025,,,,,,,,,
CHEVROLET/PRISMA LT (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/prisma-lt-(4p)/ano.2012/e3e362ce-defc-11ef-903d-02420a000042,N/A,CE,2011,167.320 km,"R$ 15.900,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
CHEVROLET/CLASSIC LS (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/classic-ls-(4p)/ano.2016/01a046e5-3a44-11f0-9677-02420a00000b,N/A,CE,2015,108.763 km,"R$ 18.900,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
RENAULT/CLIO EXPRESSION 10 16VH (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/clio-expression-10-16vh-(4p)/ano.2015/159a4e96-42c5-11ef-9bb1-02420a00002f,N/A,CE,2014,287.049 km,"R$ 16.600,00",Leilão ao vivo em: 3 dias 1h17m54s,25/06/2025,,,,,,,,,
PEUGEOT/207 PASSION XR (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/peugeot/207-passion-xr-(4p)/ano.2011/2084b495-e8a1-11ef-903d-02420a000042,N/A,CE,2010,204.261 km,"R$ 10.800,00",Leilão ao vivo em: 3 dias 1h18m18s,25/06/2025,,,,,,,,,
CITROEN/C3 AIRCROSS TENDANCE,https://leilo.com.br/leilao/eusebio-ceara/carros/citroen/c3-aircross-tendance/ano.2015/d89838ec-5a38-11ef-ae95-02420a0000a0,N/A,CE,2014,84.225 km,"R$ 21.800,00",Leilão ao vivo em: 3 dias 1h18m39s,25/06/2025,,,,,,,,,
FIAT/UNO VIVACE 1.0 (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/uno-vivace-1.0-(2p%2F4p)/ano.2011/195abd95-3af9-11f0-b593-02420a000005,N/A,CE,2010,161.685 km,"R$ 14.200,00",Leilão ao vivo em: 3 dias 1h19m4s,25/06/2025,,,,,,,,,
VOLKSWAGEN/GOL COMFORTLINE MB (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-comfortline-mb-(2p%2F4p)/ano.2015/00a68044-42c4-11ef-9bb1-02420a00002f,N/A,CE,2014,213.178 km,"R$ 20.900,00",Leilão ao vivo em: 3 dias 1h19m27s,25/06/2025,,,,,,,,,
MITSUBISHI/PAJERO SPORT HPE,https://leilo.com.br/leilao/eusebio-ceara/carros/mitsubishi/pajero-sport-hpe/ano.2008/e8edb843-40aa-11f0-b593-02420a000005,N/A,CE,2008,123.619 km,"R$ 31.100,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
CHEVROLET/CLASSIC LS (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/classic-ls-(2p%2F4p)/ano.2015/e8f0d8e7-b65d-11ef-8e48-02420a000017,N/A,CE,2014,208.170 km,"R$ 17.000,00",Leilão ao vivo em: 3 dias 1h20m12s,25/06/2025,,,,,,,,,
JEEP/GRAND CHEROKEE LIMITED,https://leilo.com.br/leilao/eusebio-ceara/carros/jeep/grand-cherokee-limited/ano.2015/3963b642-2c3e-11f0-9f79-02420a000005,N/A,CE,2015,N/A,"R$ 53.600,00",Leilão ao vivo em: 3 dias 1h20m35s,25/06/2025,,,,,,,,,
FIAT/IDEA ATTRACTIVE,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/idea-attractive/ano.2015/051c05da-2f74-11f0-9f79-02420a000005,N/A,CE,2015,215.541 km,"R$ 21.800,00",Leilão ao vivo em: 3 dias 1h20m57s,25/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/352d214a-40b7-11f0-b593-02420a000005,N/A,CE,2009,115.584 km,"R$ 13.400,00",Leilão ao vivo em: 3 dias 1h21m20s,25/06/2025,,,,,,,,,
JEEP/GRAND CHEROKEE LIMITED,https://leilo.com.br/leilao/eusebio-ceara/carros/jeep/grand-cherokee-limited/ano.2014/e71d98e6-c155-11ef-8e48-02420a000017,N/A,CE,2014,87.907 km,"R$ 50.500,00",Leilão ao vivo em: 3 dias 1h21m45s,25/06/2025,,,,,,,,,
CHEVROLET/CORSA HATCH MAXX (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/corsa-hatch-maxx-(2p%2F4p)/ano.2012/36d64a55-2f68-11f0-9f79-02420a000005,N/A,CE,2012,187.388 km,"R$ 17.000,00",Leilão ao vivo em: 3 dias 1h22m9s,25/06/2025,,,,,,,,,
CHEVROLET/PRISMA LT (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/prisma-lt-(4p)/ano.2014/07da2074-0022-11f0-8c72-02420a00002d,N/A,CE,2013,122.142 km,"R$ 22.700,00",Leilão ao vivo em: 3 dias 1h22m30s,25/06/2025,,,,,,,,,
CHEVROLET/CLASSIC LIFE (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/classic-life-(2p%2F4p)/ano.2008/4d59c24a-b94c-11ef-8e48-02420a000017,N/A,CE,2007,N/A,"R$ 10.800,00",Leilão ao vivo em: 3 dias 1h22m54s,25/06/2025,,,,,,,,,
PEUGEOT/208 ACTIVE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/peugeot/208-active-(4p)/ano.2014/a710c9e2-0a39-11f0-8c72-02420a00002d,N/A,CE,2014,98.460 km,"R$ 20.400,00",Leilão ao vivo em: 3 dias 1h23m16s,25/06/2025,,,,,,,,,
NISSAN/MARCH S FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/nissan/march-s-flex-(4p)/ano.2014/5f43d766-0b13-11f0-8c72-02420a00002d,N/A,CE,2013,190.904 km,"R$ 19.200,00",Leilão ao vivo em: 3 dias 1h23m37s,25/06/2025,,,,,,,,,
FIAT/STRADA ADVENTURE CABINE DUPLA,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/strada-adventure-cabine-dupla/ano.2014/302beae2-2501-11f0-bcc9-02420a000216,N/A,CE,2014,N/A,"R$ 29.400,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
FIAT/PUNTO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/punto-(4p)/ano.2010/901f09ba-2dac-11f0-9f79-02420a000005,N/A,CE,2010,99.999.999.999 km,"R$ 14.800,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
FORD/FIESTA HATCH SE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/fiesta-hatch-se-(4p)/ano.2014/836e9085-4560-11f0-b593-02420a000005,N/A,CE,2013,117.238 km,"R$ 20.100,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
VOLKSWAGEN/FOX PRIME GII (4P/2P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/fox-prime-gii-(4p%2F2p)/ano.2013/80981707-1f87-11f0-abeb-02420a0000a3,N/A,CE,2013,155.995 km,"R$ 20.700,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
NISSAN/VERSA SL FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/nissan/versa-sl-flex-(4p)/ano.2013/8744db16-203e-11f0-bcc9-02420a000216,N/A,CE,2012,40.809 km,"R$ 20.800,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
NISSAN/LIVINA S,https://leilo.com.br/leilao/eusebio-ceara/carros/nissan/livina-s/ano.2013/504b3067-2295-11f0-bcc9-02420a000216,N/A,CE,2012,131.179 km,"R$ 19.500,00",Leilão ao vivo em: 3 dias 1h25m46s,25/06/2025,,,,,,,,,
FIAT/DOBLO ESSENCE,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/doblo-essence/ano.2013/d96a1a38-2757-11f0-9f79-02420a000005,N/A,CE,2013,N/A,"R$ 23.900,00",Leilão: Leilão: 25/06/2025 Qua • 12:30,25/06/2025,,,,,,,,,
VOLKSWAGEN/NOVO GOL (4P/2P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/novo-gol-(4p%2F2p)/ano.2013/860f8978-3d82-11f0-b593-02420a000005,N/A,CE,2012,101.051 km,"R$ 16.000,00",Leilão ao vivo em: 3 dias 1h26m17s,25/06/2025,,,,,,,,,
CHEVROLET/TRACKER TURBO LTZ,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/tracker-turbo-ltz/ano.2025/258eee05-1b89-11f0-abeb-02420a0000a3,N/A,GO,2024,7.629 km,"R$ 75.900,00",Leilão ao vivo em: 3 dias 9h39m8s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX PLUS 10TAT PR2,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/onix-plus-10tat-pr2/ano.2025/dfb78267-13ff-11f0-b6cf-02420a00009e,N/A,SP,2024,17.783 km,"R$ 60.600,00",Leilão ao vivo em: 3 dias 9h39m28s,25/06/2025,,,,,,,,,
MERCEDES-BENZ/E-250 CGI,https://leilo.com.br/leilao/manaus-amazonas/carros/mercedes-benz/e-250-cgi/ano.2012/e3ec925e-250a-11f0-bcc9-02420a000216,N/A,AM,2012,62.548 km,"R$ 46.800,00",Leilão ao vivo em: 3 dias 9h39m51s,25/06/2025,,,,,,,,,
CHEVROLET/TRACKER TURBO LTZ,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/tracker-turbo-ltz/ano.2023/b393064c-ed39-11ef-bd15-02420a00000b,N/A,CE,2022,30.555 km,"R$ 60.500,00",Leilão ao vivo em: 3 dias 9h40m15s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX 1.0 TURBO AUTOMATICO PREMIER2,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-1.0-turbo-automatico-premier2/ano.2024/160e2dd9-42e2-11f0-b593-02420a000005,N/A,GO,2023,23.025 km,"R$ 57.300,00",Leilão ao vivo em: 3 dias 9h40m35s,25/06/2025,,,,,,,,,
PEUGEOT/208 LIKE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/208-like/ano.2024/f6998628-2520-11f0-bcc9-02420a000216,N/A,GO,2024,10.175 km,"R$ 37.400,00",Leilão ao vivo em: 3 dias 9h40m56s,25/06/2025,,,,,,,,,
CHEVROLET/ONIX 1.0 TURBO AUTOMATICO PREMIER2,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/chevrolet/onix-1.0-turbo-automatico-premier2/ano.2024/2f6b60eb-002d-11f0-8c72-02420a00002d,N/A,RS,2023,50.663 km,"R$ 55.800,00",Leilão ao vivo em: 3 dias 9h41m19s,25/06/2025,,,,,,,,,
CHEVROLET/TRACKER A LT,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/tracker-a-lt/ano.2023/575b352b-0bd7-11f0-8c72-02420a00002d,N/A,SP,2022,45.889 km,"R$ 56.400,00",Leilão ao vivo em: 3 dias 9h41m38s,25/06/2025,,,,,,,,,
HONDA/CR-V FH-TOURING,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/cr-v-fh-touring/ano.2024/e4bd141a-46f5-11f0-b593-02420a000005,N/A,GO,2023,196 km,"R$ 172.300,00",Leilão ao vivo em: 3 dias 9h42m2s,25/06/2025,,,,,,,,,
CHEVROLET/TRACKER TURBO LTZ,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/tracker-turbo-ltz/ano.2024/49f0eca5-2502-11f0-bcc9-02420a000216,N/A,SP,2023,31.137 km,"R$ 68.400,00",Leilão ao vivo em: 3 dias 9h42m25s,25/06/2025,,,,,,,,,
